DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	Price	Currency	UpdateTime
2020-03-01 00:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	17.10	EUR	2020-02-29 13:16:55
2020-03-01 01:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	17.04	EUR	2020-02-29 13:16:55
2020-03-01 02:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	17.04	EUR	2020-02-29 13:16:55
2020-03-01 03:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	17.07	EUR	2020-02-29 13:16:55
2020-03-01 04:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	17.64	EUR	2020-02-29 13:16:55
2020-03-01 05:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	13.98	EUR	2020-02-29 13:16:55
2020-03-01 06:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	8.90	EUR	2020-02-29 13:16:55
2020-03-01 07:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	11.24	EUR	2020-02-29 13:16:55
2020-03-01 08:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	15.13	EUR	2020-02-29 13:16:55
2020-03-01 09:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	21.92	EUR	2020-02-29 13:16:55
2020-03-01 10:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	21.48	EUR	2020-02-29 13:16:55
2020-03-01 11:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	18.88	EUR	2020-02-29 13:16:55
2020-03-01 12:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	17.60	EUR	2020-02-29 13:16:55
2020-03-01 13:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	14.01	EUR	2020-02-29 13:16:55
2020-03-01 14:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	13.91	EUR	2020-02-29 13:16:55
2020-03-01 15:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	24.75	EUR	2020-02-29 13:16:55
2020-03-01 16:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	34.93	EUR	2020-02-29 13:16:55
2020-03-01 17:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	33.48	EUR	2020-02-29 13:16:55
2020-03-01 18:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	27.04	EUR	2020-02-29 13:16:55
2020-03-01 19:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	20.91	EUR	2020-02-29 13:16:55
2020-03-01 20:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	19.84	EUR	2020-02-29 13:16:55
2020-03-01 21:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	17.00	EUR	2020-02-29 13:16:55
2020-03-01 22:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	11.49	EUR	2020-02-29 13:16:55
2020-03-01 23:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	10.28	EUR	2020-03-01 13:18:01
2020-03-02 00:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	10.76	EUR	2020-03-01 13:18:01
2020-03-02 01:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	10.96	EUR	2020-03-01 13:18:01
2020-03-02 02:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	11.24	EUR	2020-03-01 13:18:01
2020-03-02 03:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	11.98	EUR	2020-03-01 13:18:01
2020-03-02 04:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	13.88	EUR	2020-03-01 13:18:01
2020-03-02 05:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	39.56	EUR	2020-03-01 13:18:01
2020-03-02 06:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	47.08	EUR	2020-03-01 13:18:01
2020-03-02 07:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	52.30	EUR	2020-03-01 13:18:01
2020-03-02 08:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	52.05	EUR	2020-03-01 13:18:01
2020-03-02 09:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	46.74	EUR	2020-03-01 13:18:01
2020-03-02 10:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	51.51	EUR	2020-03-01 13:18:01
2020-03-02 11:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	46.75	EUR	2020-03-01 13:18:01
2020-03-02 12:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	43.35	EUR	2020-03-01 13:18:01
2020-03-02 13:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	41.09	EUR	2020-03-01 13:18:01
2020-03-02 14:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	41.06	EUR	2020-03-01 13:18:01
2020-03-02 15:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	41.36	EUR	2020-03-01 13:18:01
2020-03-02 16:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	50.01	EUR	2020-03-01 13:18:01
2020-03-02 17:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	54.92	EUR	2020-03-01 13:18:01
2020-03-02 18:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	43.92	EUR	2020-03-01 13:18:01
2020-03-02 19:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	36.84	EUR	2020-03-01 13:18:01
2020-03-02 20:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	27.08	EUR	2020-03-01 13:18:01
2020-03-02 21:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	20.33	EUR	2020-03-01 13:18:01
2020-03-02 22:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	19.30	EUR	2020-03-01 13:18:01
