DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	Price	Currency	UpdateTime
2021-11-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	134.93	EUR	2021-10-31 10:31:47
2021-11-01 04:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	164.91	EUR	2021-10-31 10:31:47
2021-11-01 08:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	125.07	EUR	2021-10-31 10:31:47
2021-11-01 12:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	159.13	EUR	2021-10-31 10:31:47
2021-11-01 16:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	209.35	EUR	2021-10-31 10:31:47
2021-11-01 20:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	190.06	EUR	2021-10-31 10:31:47
2021-11-01 01:00:00.000	PT60M	50Y0JVU59B4JWQCU	BZN	NO2NSL	NO2NSL	43.93	EUR	2021-10-31 11:01:51
2021-11-01 05:00:00.000	PT60M	50Y0JVU59B4JWQCU	BZN	NO2NSL	NO2NSL	64.65	EUR	2021-10-31 11:01:51
2021-11-01 09:00:00.000	PT60M	50Y0JVU59B4JWQCU	BZN	NO2NSL	NO2NSL	88.37	EUR	2021-10-31 11:01:51
2021-11-01 13:00:00.000	PT60M	50Y0JVU59B4JWQCU	BZN	NO2NSL	NO2NSL	82.25	EUR	2021-10-31 11:01:51
2021-11-01 17:00:00.000	PT60M	50Y0JVU59B4JWQCU	BZN	NO2NSL	NO2NSL	90.62	EUR	2021-10-31 11:01:51
2021-11-01 21:00:00.000	PT60M	50Y0JVU59B4JWQCU	BZN	NO2NSL	NO2NSL	76.34	EUR	2021-10-31 11:01:51
2021-11-01 02:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	22.05	EUR	2021-10-31 12:47:07
2021-11-01 06:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	77.54	EUR	2021-10-31 12:47:07
2021-11-01 10:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	78.31	EUR	2021-10-31 12:47:07
2021-11-01 14:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	72.00	EUR	2021-10-31 12:47:07
2021-11-01 18:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	179.90	EUR	2021-10-31 12:47:07
2021-11-01 22:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	134.90	EUR	2021-10-31 12:47:07
2021-11-01 03:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	38.96	EUR	2021-10-31 13:02:59
2021-11-01 07:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	86.24	EUR	2021-10-31 13:02:59
2021-11-01 11:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	76.45	EUR	2021-10-31 13:02:59
2021-11-01 15:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	84.86	EUR	2021-10-31 13:02:59
2021-11-01 19:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	79.92	EUR	2021-10-31 13:02:59
2021-11-01 00:00:00.000	PT60M	10YLT-1001A0008Q	BZN	LT BZN	LT	55.06	EUR	2021-10-31 13:02:59
2021-11-01 04:00:00.000	PT60M	10YLT-1001A0008Q	BZN	LT BZN	LT	60.10	EUR	2021-10-31 13:02:59
2021-11-01 08:00:00.000	PT60M	10YLT-1001A0008Q	BZN	LT BZN	LT	83.10	EUR	2021-10-31 13:02:59
2021-11-01 12:00:00.000	PT60M	10YLT-1001A0008Q	BZN	LT BZN	LT	77.97	EUR	2021-10-31 13:02:59
2021-11-01 16:00:00.000	PT60M	10YLT-1001A0008Q	BZN	LT BZN	LT	94.75	EUR	2021-10-31 13:02:59
2021-11-01 20:00:00.000	PT60M	10YLT-1001A0008Q	BZN	LT BZN	LT	76.42	EUR	2021-10-31 13:02:59
2021-11-01 01:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	43.92	EUR	2021-10-31 13:02:59
2021-11-01 05:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	58.29	EUR	2021-10-31 13:02:59
2021-11-01 09:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	80.19	EUR	2021-10-31 13:02:59
2021-11-01 13:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	79.56	EUR	2021-10-31 13:02:59
2021-11-01 17:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	92.52	EUR	2021-10-31 13:02:59
2021-11-01 21:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	58.39	EUR	2021-10-31 13:02:59
2021-11-01 02:00:00.000	PT60M	10YSK-SEPS-----K	BZN	SK BZN	SK	38.95	EUR	2021-10-31 13:03:06
2021-11-01 06:00:00.000	PT60M	10YSK-SEPS-----K	BZN	SK BZN	SK	110.00	EUR	2021-10-31 13:03:06
2021-11-01 10:00:00.000	PT60M	10YSK-SEPS-----K	BZN	SK BZN	SK	109.74	EUR	2021-10-31 13:03:06
2021-11-01 14:00:00.000	PT60M	10YSK-SEPS-----K	BZN	SK BZN	SK	146.62	EUR	2021-10-31 13:03:06
