DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	Price	Currency	UpdateTime
2021-06-06 07:00:00.000	PT60M	10YHR-HEP------M	BZN	HR BZN	HR	57.89	EUR	2021-06-05 13:47:13
2021-06-06 11:00:00.000	PT60M	10YHR-HEP------M	BZN	HR BZN	HR	55.41	EUR	2021-06-05 13:47:13
2021-06-06 15:00:00.000	PT60M	10YHR-HEP------M	BZN	HR BZN	HR	57.29	EUR	2021-06-05 13:47:13
2021-06-06 19:00:00.000	PT60M	10YHR-HEP------M	BZN	HR BZN	HR	77.08	EUR	2021-06-05 13:47:13
2021-06-05 23:00:00.000	PT60M	10YPL-AREA-----S	BZN	PL BZN	PL	56.68	EUR	2021-06-05 13:48:04
2021-06-06 03:00:00.000	PT60M	10YPL-AREA-----S	BZN	PL BZN	PL	56.79	EUR	2021-06-05 13:48:04
2021-06-06 07:00:00.000	PT60M	10YPL-AREA-----S	BZN	PL BZN	PL	57.89	EUR	2021-06-05 13:48:04
2021-06-06 11:00:00.000	PT60M	10YPL-AREA-----S	BZN	PL BZN	PL	55.41	EUR	2021-06-05 13:48:04
2021-06-06 15:00:00.000	PT60M	10YPL-AREA-----S	BZN	PL BZN	PL	57.69	EUR	2021-06-05 13:48:04
2021-06-06 19:00:00.000	PT60M	10YPL-AREA-----S	BZN	PL BZN	PL	77.08	EUR	2021-06-05 13:48:04
2021-06-05 23:00:00.000	PT60M	10Y1001A1001A885	BZN	IT-SACOAC BZN	IT-SACOAC	74.68	EUR	2021-06-05 15:11:48
2021-06-05 23:00:00.000	PT60M	10Y1001A1001A74G	BZN	IT-Sardinia BZN	IT-Sardinia	74.68	EUR	2021-06-05 15:11:48
2021-06-05 23:00:00.000	PT60M	10Y1001A1001A788	BZN	IT-South BZN	IT-SOUTH	74.68	EUR	2021-06-05 15:11:48
2021-06-05 23:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	62.39	EUR	2021-06-05 15:11:48
2021-06-06 03:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	64.36	EUR	2021-06-05 15:11:48
2021-06-06 07:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	62.75	EUR	2021-06-05 15:11:48
2021-06-06 11:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	56.10	EUR	2021-06-05 15:11:48
2021-06-06 15:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	66.64	EUR	2021-06-05 15:11:48
2021-06-06 19:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	85.57	EUR	2021-06-05 15:11:48
2021-06-06 01:00:00.000	PT60M	10Y1001A1001A885	BZN	IT-SACOAC BZN	IT-SACOAC	57.22	EUR	2021-06-05 15:11:48
2021-06-06 05:00:00.000	PT60M	10Y1001A1001A885	BZN	IT-SACOAC BZN	IT-SACOAC	62.77	EUR	2021-06-05 15:11:48
2021-06-06 09:00:00.000	PT60M	10Y1001A1001A885	BZN	IT-SACOAC BZN	IT-SACOAC	65.73	EUR	2021-06-05 15:11:48
2021-06-06 13:00:00.000	PT60M	10Y1001A1001A885	BZN	IT-SACOAC BZN	IT-SACOAC	61.67	EUR	2021-06-05 15:11:48
2021-06-06 17:00:00.000	PT60M	10Y1001A1001A885	BZN	IT-SACOAC BZN	IT-SACOAC	82.09	EUR	2021-06-05 15:11:48
2021-06-06 21:00:00.000	PT60M	10Y1001A1001A885	BZN	IT-SACOAC BZN	IT-SACOAC	78.45	EUR	2021-06-05 15:11:48
2021-06-06 03:00:00.000	PT60M	10Y1001A1001A75E	BZN	IT-Sicily BZN	IT-Sicily	104.21	EUR	2021-06-05 15:11:48
2021-06-06 07:00:00.000	PT60M	10Y1001A1001A75E	BZN	IT-Sicily BZN	IT-Sicily	118.49	EUR	2021-06-05 15:11:48
2021-06-06 11:00:00.000	PT60M	10Y1001A1001A75E	BZN	IT-Sicily BZN	IT-Sicily	56.10	EUR	2021-06-05 15:11:48
2021-06-06 15:00:00.000	PT60M	10Y1001A1001A75E	BZN	IT-Sicily BZN	IT-Sicily	66.64	EUR	2021-06-05 15:11:48
2021-06-06 19:00:00.000	PT60M	10Y1001A1001A75E	BZN	IT-Sicily BZN	IT-Sicily	104.21	EUR	2021-06-05 15:11:48
2021-06-05 23:00:00.000	PT60M	10Y1001A1001A71M	BZN	IT-Centre-South BZN	IT-CSOUTH	74.68	EUR	2021-06-05 15:11:48
2021-06-06 03:00:00.000	PT60M	10Y1001A1001A74G	BZN	IT-Sardinia BZN	IT-Sardinia	64.36	EUR	2021-06-05 15:11:48
2021-06-06 07:00:00.000	PT60M	10Y1001A1001A74G	BZN	IT-Sardinia BZN	IT-Sardinia	62.75	EUR	2021-06-05 15:11:48
2021-06-06 11:00:00.000	PT60M	10Y1001A1001A74G	BZN	IT-Sardinia BZN	IT-Sardinia	56.10	EUR	2021-06-05 15:11:48
2021-06-06 15:00:00.000	PT60M	10Y1001A1001A74G	BZN	IT-Sardinia BZN	IT-Sardinia	66.64	EUR	2021-06-05 15:11:48
2021-06-06 19:00:00.000	PT60M	10Y1001A1001A74G	BZN	IT-Sardinia BZN	IT-Sardinia	92.66	EUR	2021-06-05 15:11:48
2021-06-06 01:00:00.000	PT60M	10Y1001A1001A893	BZN	IT-SACODC BZN	IT-SACODC	57.22	EUR	2021-06-05 15:11:48
2021-06-06 05:00:00.000	PT60M	10Y1001A1001A893	BZN	IT-SACODC BZN	IT-SACODC	62.77	EUR	2021-06-05 15:11:48
2021-06-06 09:00:00.000	PT60M	10Y1001A1001A893	BZN	IT-SACODC BZN	IT-SACODC	65.73	EUR	2021-06-05 15:11:48
2021-06-06 13:00:00.000	PT60M	10Y1001A1001A893	BZN	IT-SACODC BZN	IT-SACODC	61.67	EUR	2021-06-05 15:11:48
2021-06-06 17:00:00.000	PT60M	10Y1001A1001A893	BZN	IT-SACODC BZN	IT-SACODC	82.09	EUR	2021-06-05 15:11:48
