DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	Price	Currency	UpdateTime
2021-09-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	91.68	EUR	2021-08-31 10:30:52
2021-09-01 04:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	121.72	EUR	2021-08-31 10:30:52
2021-09-01 08:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	130.03	EUR	2021-08-31 10:30:52
2021-09-01 12:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	115.05	EUR	2021-08-31 10:30:52
2021-09-01 16:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	131.75	EUR	2021-08-31 10:30:52
2021-09-01 20:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	117.67	EUR	2021-08-31 10:30:52
2021-09-01 02:00:00.000	PT60M	10YUA-WEPS-----0	BZN	UA-BEI BZN	UA_BEI	959.12	UAH	2021-08-31 12:03:45
2021-09-01 06:00:00.000	PT60M	10YUA-WEPS-----0	BZN	UA-BEI BZN	UA_BEI	1987.03	UAH	2021-08-31 12:03:45
2021-09-01 10:00:00.000	PT60M	10YUA-WEPS-----0	BZN	UA-BEI BZN	UA_BEI	1987.02	UAH	2021-08-31 12:03:45
2021-09-01 14:00:00.000	PT60M	10YUA-WEPS-----0	BZN	UA-BEI BZN	UA_BEI	1987.03	UAH	2021-08-31 12:03:45
2021-09-01 18:00:00.000	PT60M	10YUA-WEPS-----0	BZN	UA-BEI BZN	UA_BEI	1987.03	UAH	2021-08-31 12:03:45
2021-09-01 01:00:00.000	PT60M	10Y1001C--000182	BZN	UA-IPS BZN	UA_IPS	825.00	UAH	2021-08-31 12:03:45
2021-09-01 05:00:00.000	PT60M	10Y1001C--000182	BZN	UA-IPS BZN	UA_IPS	1967.70	UAH	2021-08-31 12:03:45
2021-09-01 09:00:00.000	PT60M	10Y1001C--000182	BZN	UA-IPS BZN	UA_IPS	1521.00	UAH	2021-08-31 12:03:45
2021-09-01 13:00:00.000	PT60M	10Y1001C--000182	BZN	UA-IPS BZN	UA_IPS	3994.85	UAH	2021-08-31 12:03:45
2021-09-01 17:00:00.000	PT60M	10Y1001C--000182	BZN	UA-IPS BZN	UA_IPS	3994.85	UAH	2021-08-31 12:03:45
2021-09-01 00:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	119.45	EUR	2021-08-31 12:47:26
2021-09-01 04:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	130.95	EUR	2021-08-31 12:47:26
2021-09-01 08:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	136.05	EUR	2021-08-31 12:47:26
2021-09-01 12:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	134.93	EUR	2021-08-31 12:47:26
2021-09-01 16:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	136.31	EUR	2021-08-31 12:47:26
2021-09-01 20:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	138.42	EUR	2021-08-31 12:47:26
2021-09-01 02:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	88.43	EUR	2021-08-31 13:03:03
2021-09-01 06:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	140.72	EUR	2021-08-31 13:03:03
2021-09-01 10:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	103.88	EUR	2021-08-31 13:03:03
2021-09-01 14:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	97.61	EUR	2021-08-31 13:03:03
2021-09-01 18:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	144.93	EUR	2021-08-31 13:03:03
2021-09-01 00:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	87.35	EUR	2021-08-31 13:03:03
2021-09-01 04:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	118.70	EUR	2021-08-31 13:03:03
2021-09-01 08:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	116.99	EUR	2021-08-31 13:03:03
2021-09-01 12:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	94.98	EUR	2021-08-31 13:03:03
2021-09-01 16:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	131.00	EUR	2021-08-31 13:03:03
2021-09-01 20:00:00.000	PT60M	10Y1001A1001A39I	BZN	EE BZN	EE	114.39	EUR	2021-08-31 13:03:03
2021-09-01 02:00:00.000	PT60M	10YLT-1001A0008Q	BZN	LT BZN	LT	88.43	EUR	2021-08-31 13:03:03
2021-09-01 06:00:00.000	PT60M	10YLT-1001A0008Q	BZN	LT BZN	LT	140.72	EUR	2021-08-31 13:03:03
2021-09-01 10:00:00.000	PT60M	10YLT-1001A0008Q	BZN	LT BZN	LT	103.88	EUR	2021-08-31 13:03:03
2021-09-01 14:00:00.000	PT60M	10YLT-1001A0008Q	BZN	LT BZN	LT	97.61	EUR	2021-08-31 13:03:03
2021-09-01 18:00:00.000	PT60M	10YLT-1001A0008Q	BZN	LT BZN	LT	144.93	EUR	2021-08-31 13:03:03
2021-09-01 00:00:00.000	PT60M	10YSK-SEPS-----K	BZN	SK BZN	SK	89.53	EUR	2021-08-31 13:03:05
2021-09-01 04:00:00.000	PT60M	10YSK-SEPS-----K	BZN	SK BZN	SK	118.70	EUR	2021-08-31 13:03:05
2021-09-01 08:00:00.000	PT60M	10YSK-SEPS-----K	BZN	SK BZN	SK	116.99	EUR	2021-08-31 13:03:05
2021-09-01 12:00:00.000	PT60M	10YSK-SEPS-----K	BZN	SK BZN	SK	94.98	EUR	2021-08-31 13:03:05
2021-09-01 16:00:00.000	PT60M	10YSK-SEPS-----K	BZN	SK BZN	SK	131.00	EUR	2021-08-31 13:03:05
2021-09-01 20:00:00.000	PT60M	10YSK-SEPS-----K	BZN	SK BZN	SK	114.39	EUR	2021-08-31 13:03:05
2021-09-01 02:00:00.000	PT60M	10YGR-HTSO-----Y	BZN	GR BZN	GR	100.56	EUR	2021-08-31 13:03:28
2021-09-01 06:00:00.000	PT60M	10YGR-HTSO-----Y	BZN	GR BZN	GR	134.92	EUR	2021-08-31 13:03:28
2021-09-01 10:00:00.000	PT60M	10YGR-HTSO-----Y	BZN	GR BZN	GR	133.77	EUR	2021-08-31 13:03:28
2021-09-01 14:00:00.000	PT60M	10YGR-HTSO-----Y	BZN	GR BZN	GR	136.10	EUR	2021-08-31 13:03:28
2021-09-01 18:00:00.000	PT60M	10YGR-HTSO-----Y	BZN	GR BZN	GR	135.24	EUR	2021-08-31 13:03:28
2021-09-01 00:00:00.000	PT60M	10YBE----------2	BZN	BE BZN	BE	100.40	EUR	2021-08-31 13:03:28
2021-09-01 04:00:00.000	PT60M	10YBE----------2	BZN	BE BZN	BE	144.39	EUR	2021-08-31 13:03:28
2021-09-01 08:00:00.000	PT60M	10YBE----------2	BZN	BE BZN	BE	116.99	EUR	2021-08-31 13:03:28
2021-09-01 12:00:00.000	PT60M	10YBE----------2	BZN	BE BZN	BE	94.98	EUR	2021-08-31 13:03:28
2021-09-01 16:00:00.000	PT60M	10YBE----------2	BZN	BE BZN	BE	143.92	EUR	2021-08-31 13:03:28
2021-09-01 20:00:00.000	PT60M	10YBE----------2	BZN	BE BZN	BE	114.39	EUR	2021-08-31 13:03:28
2021-09-01 02:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	88.43	EUR	2021-08-31 13:03:28
2021-09-01 06:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	140.65	EUR	2021-08-31 13:03:28
2021-09-01 10:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	103.88	EUR	2021-08-31 13:03:28
2021-09-01 14:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	97.57	EUR	2021-08-31 13:03:28
