DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	Price	Currency	UpdateTime
2020-08-01 00:00:00.000	PT60M	10Y1001A1001A44P	BZN	SE1 BZN	SE1	3.20	EUR	2020-07-31 13:16:38
2020-08-01 01:00:00.000	PT60M	10Y1001A1001A44P	BZN	SE1 BZN	SE1	3.19	EUR	2020-07-31 13:16:38
2020-08-01 02:00:00.000	PT60M	10Y1001A1001A44P	BZN	SE1 BZN	SE1	3.14	EUR	2020-07-31 13:16:38
2020-08-01 03:00:00.000	PT60M	10Y1001A1001A44P	BZN	SE1 BZN	SE1	3.10	EUR	2020-07-31 13:16:38
2020-08-01 04:00:00.000	PT60M	10Y1001A1001A44P	BZN	SE1 BZN	SE1	3.00	EUR	2020-07-31 13:16:38
2020-08-01 05:00:00.000	PT60M	10Y1001A1001A44P	BZN	SE1 BZN	SE1	3.07	EUR	2020-07-31 13:16:38
2020-08-01 06:00:00.000	PT60M	10Y1001A1001A44P	BZN	SE1 BZN	SE1	2.98	EUR	2020-07-31 13:16:38
2020-08-01 07:00:00.000	PT60M	10Y1001A1001A44P	BZN	SE1 BZN	SE1	3.15	EUR	2020-07-31 13:16:38
2020-08-01 08:00:00.000	PT60M	10Y1001A1001A44P	BZN	SE1 BZN	SE1	3.14	EUR	2020-07-31 13:16:38
2020-08-01 09:00:00.000	PT60M	10Y1001A1001A44P	BZN	SE1 BZN	SE1	3.05	EUR	2020-07-31 13:16:38
2020-08-01 10:00:00.000	PT60M	10Y1001A1001A44P	BZN	SE1 BZN	SE1	2.92	EUR	2020-07-31 13:16:38
2020-08-01 11:00:00.000	PT60M	10Y1001A1001A44P	BZN	SE1 BZN	SE1	2.93	EUR	2020-07-31 13:16:38
2020-08-01 12:00:00.000	PT60M	10Y1001A1001A44P	BZN	SE1 BZN	SE1	2.99	EUR	2020-07-31 13:16:38
2020-08-01 13:00:00.000	PT60M	10Y1001A1001A44P	BZN	SE1 BZN	SE1	2.98	EUR	2020-07-31 13:16:38
2020-08-01 14:00:00.000	PT60M	10Y1001A1001A44P	BZN	SE1 BZN	SE1	2.97	EUR	2020-07-31 13:16:38
2020-08-01 15:00:00.000	PT60M	10Y1001A1001A44P	BZN	SE1 BZN	SE1	2.98	EUR	2020-07-31 13:16:38
2020-08-01 16:00:00.000	PT60M	10Y1001A1001A44P	BZN	SE1 BZN	SE1	2.99	EUR	2020-07-31 13:16:38
2020-08-01 17:00:00.000	PT60M	10Y1001A1001A44P	BZN	SE1 BZN	SE1	2.91	EUR	2020-07-31 13:16:38
2020-08-01 18:00:00.000	PT60M	10Y1001A1001A44P	BZN	SE1 BZN	SE1	2.89	EUR	2020-07-31 13:16:38
2020-08-01 19:00:00.000	PT60M	10Y1001A1001A44P	BZN	SE1 BZN	SE1	2.96	EUR	2020-07-31 13:16:38
2020-08-01 20:00:00.000	PT60M	10Y1001A1001A44P	BZN	SE1 BZN	SE1	2.88	EUR	2020-07-31 13:16:38
